"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"1657.61545053643","384","2.11198150475835e-157"
"2","depth","5.01592768565805","3","0.00201634889894295","1645.29911981585","382","5.57978401655716e-156"
"3","ccseason","7.43742089380546","4","8.91111757955353e-06","1495.09236584484","381","1.51252228195479e-131"
"4","ccadded","5.50590021871117","5","6.57748483119201e-05","1489.06298941164","380","7.24026933489714e-131"
"5","maincrop","5.76885060959213","5","3.78886304690846e-05","1582.6568503185","380","3.39642760784562e-146"
"6","tillage","5.35177910138428","2","0.00510078045625636","1761.61083290916","383","2.81998636142833e-175"
"7","nfert","1.82925351466389","1","0.177428107705163","942.747886981392","252","2.06153012343993e-80"
"8","ag.C.inputs","18.8290715217524","1","2.37929311235157e-05","444.749207279844","180","2.07358269903041e-24"
"9","species.added","2.82748959579196","1","0.0934782730294556","1575.55419374026","383","4.28022365311902e-144"
"10","duration","0.321624500269","1","0.570968744617418","1609.52671787468","379","5.77082380951253e-151"
"11","sand","0.495554049984608","1","0.482184852059109","1301.48871444657","226","1.87795323484039e-150"
"12","silt","0.390711378365377","1","0.532591644697882","1233.71498426481","214","7.6596180300861e-143"
"13","clay","0.152702842487478","1","0.696343836711794","1304.92047235546","220","2.21928396795289e-153"
"14","toc","0.12503193998867","1","0.724114129290821","431.870316262766","157","1.63948490396475e-27"
"15","ph","1.28912952229426","1","0.257502615593633","1030.79216949041","210","2.05977785925313e-108"
"16","Temp","3.37484499949674","1","0.066973445478282","1625.44334932919","383","2.36071725410749e-152"
"17","Prec","0.587710651919451","1","0.443778026252252","1652.42141855822","383","7.49125244249526e-157"
"18","soilorder","4.18409446367394","5","0.00103090315980723","1590.63284333312","380","1.62554630944455e-147"
"19","Continent","5.95046741215196","3","0.000565746412158382","1749.84120099529","382","1.3216501784984e-173"
"20","SoilCollectionSeason","2.34678824705858","3","0.0723652081543103","1733.75149479218","382","7.14211977929204e-171"
"21","FractionationMethod","8.45720039129313","2","0.000254610576203211","1739.23350291772","383","1.79180328902618e-171"
"22","DispersingAgent","4.5994690452928","4","0.00122613370291823","1674.90576697938","381","2.91622295036201e-161"
"23","ResponseCalc","16.8826222443852","1","4.86344787690023e-05","1657.61545053643","384","2.11198150475835e-157"
